112 32
-0.00598979 0.0009453148 -0.0003024191
-0.006538462 -0.00024857 -0.0001452714
-0.005724214 -0.001354095 3.689528E-05
-0.005065329 -0.002302516 0.0001920611
-0.004501957 -0.003223278 0.0003405809
-0.003806774 -0.004052918 0.0004796386
-0.002728403 -0.004371453 0.0005555004
-0.001758862 -0.004657835 0.0006236881
-0.02874012 0.04624223 -0.1714061
-0.003629822 -0.006243423 0.001677439
-0.002285182 -0.0067343 0.001903921
-0.0008767974 -0.006998308 0.002065495
0.0005827118 -0.007271495 0.002232835
0.00204182 -0.006960221 0.002223372
0.003417145 -0.006405696 0.0021355
0.004670687 -0.005627729 0.001973003
0.005225847 -0.004211817 0.00157702
0.005694045 -0.002979539 0.001231536
0.005651582 -0.001681298 0.0008364618
0.00530678 -0.0005269311 0.0004673451
0.005056597 0.0004532486 0.0001564175
0.004822209 0.001371533 -0.0001349002
0.004500419 0.002259992 -0.0004222542
0.003554944 0.002732974 -0.0006201714
0.002760364 0.003130466 -0.0007864982
0.002031872 0.003494896 -0.0009389818
0.001289826 0.003801052 -0.001074627
0.000514064 0.004103109 -0.001211017
-0.0003339481 0.004167214 -0.001279607
-0.001152836 0.003929812 -0.001255348
-0.001969997 0.003692903 -0.001231149
-0.002858225 0.003443874 -0.001207381
-0.003958926 0.00319073 -0.001194701
-0.005430587 0.002841681 -0.001174539
-0.006701354 0.001993597 -0.0009918362
-0.008070234 0.0008013286 -0.0007107109
-0.008599028 -0.0007707737 -0.0002659857
-0.00751422 -0.002137199 0.0002102107
-0.00651684 -0.003272593 0.0006114542
-0.005550429 -0.004267059 0.0009682924
-0.004613098 -0.005231604 0.001314387
-0.02927024 0.04900446 -0.1622722
-0.004460961 -0.003655743 0.001333177
-0.003475923 -0.0041718 0.001668945
-0.002431072 -0.004479304 0.00191085
-0.001433391 -0.004772928 0.002141863
-0.0004030634 -0.005076159 0.002380431
0.0007508453 -0.00541576 0.002647609
0.001953423 -0.005258538 0.002682641
0.003068134 -0.004779186 0.002556249
0.004231188 -0.004279044 0.002424374
0.005455468 -0.003650561 0.002236977
0.005771004 -0.002416264 0.001678035
0.00601285 -0.001284633 0.001161262
0.006087597 -0.0001818649 0.0006429553
0.006162036 0.0009163022 0.0001268089
0.005855311 0.001969621 -0.0004028082
0.005409565 0.002978601 -0.000924021
0.004937792 0.004046496 -0.001475677
0.004367735 0.00524215 -0.002097145
0.003084814 0.005683836 -0.002424717
0.001835756 0.006112751 -0.00274311
0.0005135015 0.0064671 -0.003032684
-0.0008698143 0.006273884 -0.003067121
-0.00225497 0.006070282 -0.003096744
-0.003622927 0.005643379 -0.003018469
-0.004376084 0.004425578 -0.002507389
-0.005031042 0.003366563 -0.002062947
-0.005650066 0.002365638 -0.001642883
-0.006719939 0.001435701 -0.001297817
-0.008011129 0.0002393238 -0.0008461028
-0.006867427 -0.001021191 -0.0001413226
-0.005733021 -0.001928482 0.000394389
-0.004923031 -0.002710704 0.0008409172
-0.03033048 0.05452891 -0.1540044
-0.006075293 -0.002061851 0.001363695
-0.005236857 -0.002806317 0.002001554
-0.004344545 -0.003438342 0.002551764
-0.003504679 -0.004105248 0.003127456
-0.002589844 -0.00483169 0.003754511
-0.001477692 -0.005599197 0.004424036
-5.923957E-05 -0.00579093 0.004646018
0.001474483 -0.006001484 0.004888639
0.002953967 -0.005624063 0.004656643
0.004406821 -0.005133461 0.004332513
0.005693674 -0.004381232 0.003790393
